TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
NOP,11/14/2018,NOP @ MIN,L,239,100,40,94,42.6,9,28,32.1,11,18,61.1,10,36,46,25,7,6,18,21,-7
BKN,11/14/2018,BKN vs. MIA,L,242,107,41,101,40.6,8,28,28.6,17,24,70.8,16,30,46,17,10,2,15,29,-13
CHI,11/14/2018,CHI @ BOS,L,240,82,33,84,39.3,7,23,30.4,9,9,100,7,40,47,16,8,3,22,16,-29
LAC,11/15/2018,LAC vs. SAS,W,240,116,40,85,47.1,8,23,34.8,28,35,80,9,41,50,23,2,3,12,25,5
SAS,11/15/2018,SAS @ LAC,L,240,111,41,102,40.2,9,29,31,20,25,80,15,30,45,19,7,6,5,24,-5
GSW,11/15/2018,GSW @ HOU,L,238,86,32,76,42.1,4,18,22.2,18,22,81.8,12,32,44,18,2,5,16,24,-21
DEN,11/15/2018,DEN vs. ATL,W,240,138,53,94,56.4,13,31,41.9,19,25,76,11,45,56,34,12,6,15,24,45
ATL,11/15/2018,ATL @ DEN,L,240,93,32,92,34.8,9,42,21.4,20,27,74.1,15,28,43,20,7,5,19,22,-45
HOU,11/15/2018,HOU vs. GSW,W,242,107,35,87,40.2,16,47,34,21,26,80.8,14,27,41,20,8,4,5,21,21
BKN,11/16/2018,BKN @ WAS,W,239,115,38,90,42.2,9,33,27.3,30,38,78.9,13,34,47,19,8,3,11,24,11
NYK,11/16/2018,NYK @ NOP,L,240,124,48,98,49,11,34,32.4,17,24,70.8,12,32,44,15,10,6,13,31,-5
CHI,11/16/2018,CHI @ MIL,L,240,104,41,94,43.6,13,33,39.4,9,13,69.2,4,32,36,22,8,3,12,15,-19
MIN,11/16/2018,MIN vs. POR,W,240,112,46,92,50,12,28,42.9,8,11,72.7,9,34,43,28,11,4,12,16,16
MEM,11/16/2018,MEM vs. SAC,W,240,112,43,85,50.6,11,25,44,15,24,62.5,9,31,40,24,11,5,13,23,8
UTA,11/16/2018,UTA @ PHI,L,240,107,41,88,46.6,4,22,18.2,21,37,56.8,10,29,39,15,10,4,13,25,-6
PHI,11/16/2018,PHI vs. UTA,W,241,113,41,81,50.6,11,23,47.8,20,32,62.5,10,31,41,25,7,5,17,27,6
